Date,022100.KQ,336570.KQ,099190.KQ,338220.KQ,206640.KQ,103590.KS,122640.KQ,018290.KQ,204620.KQ,063570.KQ,013570.KS,090470.KQ,222040.KQ,045660.KQ,032680.KQ,322180.KQ,366330.KQ,367360.KQ
2023-08-18,29450.0,13050.0,29750.0,36300.0,18150.0,9150.0,17800.0,10750.0,5670.0,6220.0,5890.0,8150.0,5060.0,9090.0,678.0,7040.0,5270.0,2805.0
2023-08-21,32950.0,13290.0,30500.0,34900.0,17770.0,9410.0,17980.0,10610.0,5380.0,6270.0,5860.0,8250.0,5100.0,9220.0,688.0,6850.0,5440.0,2865.0
2023-08-22,34400.0,13250.0,31250.0,36350.0,17910.0,10030.0,17320.0,11300.0,5560.0,6480.0,5860.0,8220.0,5180.0,9210.0,698.0,6590.0,5650.0,2870.0
2023-08-23,37500.0,12920.0,30400.0,39500.0,17840.0,10150.0,16760.0,11630.0,5510.0,6740.0,5820.0,8450.0,5560.0,9200.0,707.0,6710.0,5680.0,3060.0
2023-08-24,39050.0,13120.0,32200.0,38950.0,18050.0,10350.0,17230.0,11970.0,5700.0,6720.0,5770.0,9380.0,5830.0,9230.0,729.0,7120.0,6010.0,3140.0
2023-08-25,44400.0,13130.0,31000.0,39950.0,18320.0,11500.0,19000.0,11830.0,5750.0,6710.0,5730.0,9440.0,6000.0,9290.0,719.0,6900.0,5850.0,2930.0
2023-08-28,47600.0,13640.0,33100.0,40400.0,18590.0,11990.0,19100.0,11720.0,5860.0,6700.0,5940.0,9650.0,6700.0,9730.0,737.0,7190.0,5910.0,3075.0
2023-08-29,47650.0,13520.0,32650.0,50100.0,18860.0,,23450.0,12310.0,5920.0,6590.0,5970.0,10170.0,6530.0,9790.0,745.0,7300.0,6190.0,3035.0
2023-08-30,48300.0,14060.0,34250.0,51200.0,19340.0,11900.0,25000.0,12100.0,6390.0,6630.0,7760.0,9870.0,6640.0,10080.0,756.0,8190.0,7150.0,3060.0
2023-08-31,55300.0,15030.0,36400.0,58500.0,20150.0,12710.0,25550.0,12920.0,6650.0,6880.0,7900.0,10390.0,6900.0,10630.0,891.0,10640.0,8240.0,3315.0
