Date,006120.KS,011810.KS,068400.KS,005180.KS,060590.KQ,114840.KQ,357580.KQ,267320.KQ,340360.KQ,025560.KS,367360.KQ
2023-07-18,35200.0,13290.0,10260.0,42850.0,9500.0,25400.0,15520.0,3770.0,882.0,5108.33349609375,
2023-07-19,35300.0,14440.0,10330.0,43350.0,9460.0,24200.0,15650.0,3710.0,887.0,4783.33349609375,
2023-07-20,37050.0,13370.0,10500.0,43800.0,9300.0,24000.0,15370.0,3860.0,886.0,5058.33349609375,
2023-07-21,37650.0,13830.0,10400.0,44750.0,9410.0,23750.0,15000.0,3780.0,865.0,5016.66650390625,
2023-07-24,36600.0,14890.0,10360.0,44450.0,9350.0,22500.0,14890.0,3840.0,836.0,4041.666748046875,
2023-07-25,36150.0,13960.0,10450.0,43500.0,9310.0,21800.0,15350.0,3605.0,838.0,4550.0,
2023-07-26,35200.0,13090.0,10300.0,42450.0,8980.0,20600.0,14470.0,3545.0,820.0,4366.66650390625,
2023-07-27,35350.0,12400.0,10400.0,43950.0,9080.0,21400.0,14300.0,3510.0,834.0,4700.0,
2023-07-28,35000.0,12170.0,10500.0,45650.0,9140.0,21150.0,14520.0,3705.0,842.0,4816.66650390625,
2023-07-31,35850.0,13400.0,10670.0,45950.0,9240.0,20550.0,15030.0,3760.0,833.0,5000.0,
2023-08-01,36700.0,13590.0,10700.0,46000.0,9470.0,21550.0,14840.0,3700.0,837.0,5783.33349609375,
2023-08-02,36800.0,12600.0,10860.0,46300.0,9550.0,20650.0,14450.0,3720.0,833.0,5933.33349609375,
2023-08-03,38100.0,15660.0,10900.0,46200.0,9730.0,20150.0,14150.0,3600.0,823.0,5000.0,
2023-08-04,38100.0,15050.0,11050.0,46050.0,9920.0,22400.0,14470.0,3595.0,832.0,4758.33349609375,
2023-08-07,38450.0,14030.0,11490.0,46200.0,10430.0,24050.0,14480.0,3490.0,834.0,4333.33349609375,
2023-08-08,38050.0,16960.0,11470.0,46600.0,9810.0,23700.0,14600.0,3415.0,897.0,5091.66650390625,
2023-08-09,38650.0,15730.0,11600.0,45900.0,10530.0,22750.0,14620.0,3460.0,1080.0,5250.0,
2023-08-10,39400.0,16080.0,11800.0,46400.0,10380.0,24950.0,14400.0,3445.0,1166.0,4958.33349609375,
2023-08-11,39600.0,16300.0,12220.0,47400.0,10670.0,24950.0,14370.0,3480.0,1191.0,5216.66650390625,
2023-08-14,39400.0,15830.0,11760.0,53300.0,11000.0,24750.0,14590.0,3330.0,1176.0,5041.66650390625,
2023-08-16,38500.0,20550.0,11920.0,52800.0,11000.0,25550.0,13950.0,3315.0,1440.0,4775.0,
2023-08-17,38400.0,20800.0,12430.0,55400.0,11010.0,26550.0,14480.0,3705.0,1445.0,6230.0,
2023-08-18,40400.0,24750.0,12770.0,55600.0,14310.0,28700.0,18820.0,4815.0,1700.0,8090.0,2805.0
