Date,001740.KS,003570.KS,013570.KS,086900.KQ,087010.KQ,338220.KQ,083310.KQ,122640.KQ,204620.KQ,382800.KQ,069540.KQ,366330.KQ
2023-08-17,6350.0,9510.0,6080.0,219000.0,37900.0,32700.0,24650.0,17690.0,5700.0,,3135.0,5200.0
2023-08-18,6260.0,9780.0,5890.0,216000.0,35500.0,36300.0,24150.0,17800.0,5670.0,,3365.0,5270.0
2023-08-21,6630.0,9980.0,5860.0,223500.0,35400.0,34900.0,25100.0,17980.0,5380.0,,3220.0,5440.0
2023-08-22,6580.0,9810.0,5860.0,222500.0,37000.0,36350.0,25950.0,17320.0,5560.0,,3230.0,5650.0
2023-08-23,6830.0,9920.0,5820.0,223000.0,36300.0,39500.0,29400.0,16760.0,5510.0,,3230.0,5680.0
2023-08-24,6940.0,9800.0,5770.0,230000.0,38000.0,38950.0,29400.0,17230.0,5700.0,,3275.0,6010.0
2023-08-25,6900.0,9960.0,5730.0,229000.0,38900.0,39950.0,29350.0,19000.0,5750.0,,3640.0,5850.0
2023-08-28,7110.0,10390.0,5940.0,230500.0,38450.0,40400.0,30150.0,19100.0,5860.0,,3545.0,5910.0
2023-08-29,7120.0,,5970.0,236500.0,41250.0,50100.0,30300.0,23450.0,5920.0,,4605.0,6190.0
2023-08-30,7240.0,10950.0,7760.0,248000.0,45200.0,51200.0,31750.0,25000.0,6390.0,28800.0,5380.0,7150.0
