Ticker,Name,MarketCap,Market
030200,KT,85253억,코스피
042700,한미반도체,56262억,코스피
145020,휴젤,14739억,코스닥
000240,한국앤컴퍼니,11772억,코스피
280360,롯데웰푸드,10086억,코스피
006120,SK디스커버리,7691억,코스피
011810,STX,7630억,코스피
082640,동양생명,6188억,코스피
068400,SK렌터카,6038억,코스피
000815,삼성화재우,5797억,코스피
136510,스마트솔루션즈,5509억,코스닥
005180,빙그레,5477억,코스피
015540,쎌마테라퓨틱스,4010억,코스피
001340,백광산업,3499억,코스피
048530,인트론바이오,3480억,코스닥
060590,씨티씨바이오,3460억,코스닥
093230,이아이디,3393억,코스피
078590,휴림에이텍,3166억,코스닥
121800,비덴트,2563억,코스닥
015890,태경산업,2470억,코스피
114840,아이패밀리에스씨,2468억,코스닥
096040,이트론,2456억,코스닥
268600,셀리버리,2449억,코스닥
950170,JTC,2439억,코스닥
012320,경동인베스트,2391억,코스피
318020,포인트모바일,2292억,코스닥
054620,APS,2254억,코스닥
150840,인트로메딕,2237억,코스닥
079980,휴비스,2236억,코스피
012860,모베이스전자,2116억,코스닥
357580,아모센스,2108억,코스닥
057880,피에이치씨,2067억,코스닥
033340,좋은사람들,2046억,코스닥
194700,노바렉스,1958억,코스닥
267320,나인테크,1942억,코스닥
391710,코닉오토메이션,1917억,코스닥
138690,엘아이에스,1828억,코스닥
024810,이화전기,1816억,코스닥
041590,플래스크,1707억,코스닥
134380,미원화학,1603억,코스피
109070,컨버즈,1509억,코스피
065560,녹원씨엔아이,1504억,코스닥
347000,센코,1442억,코스닥
293580,나우IB,1293억,코스닥
215090,휴센텍,1208억,코스닥
178780,일월지엠엘,1208억,코스닥
047820,초록뱀미디어,1172억,코스닥
269620,시스웍,1143억,코스닥
160600,이큐셀,1069억,코스닥
318000,KBG,1053억,코스닥
078130,국일제지,1021억,코스닥
006140,피제이전자,975억,코스닥
066410,버킷스튜디오,970억,코스닥
277410,인산가,939억,코스닥
101140,인바이오젠,938억,코스피
069510,에스텍,935억,코스닥
056090,이노시스,931억,코스닥
257370,명성티엔에스,930억,코스닥
014200,광림,913억,코스닥
101330,모베이스,905억,코스닥
226440,한송네오텍,904억,코스닥
006580,대양제지,875억,코스닥
033180,KH 필룩스,843억,코스피
015260,에이엔피,804억,코스피
037030,파워넷,756억,코스닥
012600,청호ICT,751억,코스피
096690,에이루트,749억,코스닥
007720,대명소노시즌,746억,코스닥
340360,다보링크,727억,코스닥
102280,쌍방울,706억,코스피
044060,조광ILI,701억,코스닥
019490,하이트론,682억,코스피
032860,휴먼엔,653억,코스닥
069110,코스온,630억,코스닥
263540,어스앤에어로스페이스,624억,코스닥
052460,아이크래프트,600억,코스닥
003560,IHQ,579억,코스피
062860,티엘아이,573억,코스닥
290380,대유,568억,코스닥
091090,세원이앤씨,548억,코스피
181340,이즈미디어,543억,코스닥
007610,선도전기,540억,코스피
053590,한국테크놀로지,525억,코스닥
344860,이노진,521억,코스닥
099520,ITX-AI,496억,코스닥
187790,나노,460억,코스닥
214870,뉴지랩파마,458억,코스닥
141020,디에스앤엘,437억,코스닥
089530,에이티세미콘,434억,코스닥
435620,하나금융25호스팩,420억,코스닥
025560,미래산업,412억,코스피
226360,KH 건설,394억,코스닥
005030,부산주공,383억,코스피
044780,에이치케이,360억,코스닥
117670,알파홀딩스,355억,코스닥
038340,MIT,340억,코스닥
058530,파나케이아,325억,코스닥
111870,KH 전자,317억,코스닥
068940,셀피글로벌,298억,코스닥
148140,비디아이,277억,코스닥
219750,지티지웰니스,272억,코스닥
299910,베스파,260억,코스닥
208860,엔지스테크널러지,252억,코스닥
114120,크루셜텍,249억,코스닥
214310,에스엘에너지,225억,코스닥
030790,비케이탑스,192억,코스피
393360,신한제8호스팩,171억,코스닥
436610,한국제11호스팩,168억,코스닥
442310,대신밸런스제14호스팩,166억,코스닥
008500,일정실업,155억,코스피
106520,노블엠앤비,151억,코스닥
217480,에스디생명공학,149억,코스닥
367360,DB금융스팩9호,136억,코스닥
404950,DB금융스팩10호,124억,코스닥
377400,하이제6호스팩,123억,코스닥
448370,하나27호스팩,121억,코스닥
426550,IBKS제19호스팩,118억,코스닥
174880,장원테크,116억,코스닥
427950,하나금융23호스팩,114억,코스닥
436530,케이비제22호스팩,113억,코스닥
437780,엔에이치스팩24호,110억,코스닥
058220,아리온,107억,코스닥
372290,하나머스트7호스팩,104억,코스닥
121890,에스디시스템,94억,코스닥
450410,엔에이치스팩28호,87억,코스닥
373340,유진스팩6호,76억,코스닥
